NULL,model1,2016-01-25,sell,-59.1396563655149,1097.8,2016-01-25,1105.543752327793,-457.9628516453411
NULL,model1,2016-02-10,sell,-59.95596488910258,1182.4713105451306,2016-02-10,1121.1980687795217,3725.7826961964356
NULL,model1,2016-02-11,buy,55.15295562091594,1212.6939765823909,2016-02-11,1182.4713105451306,-894.603881160637
NULL,model1,2016-02-17,sell,-55.15295562091594,1201.9,2016-02-17,1212.6939765823909,-595.319711421804
NULL,model1,2016-02-23,buy,42.78797391874567,1208.9,2016-02-23,1207.5754495074661,-56.674831928604156
NULL,model1,2016-02-29,buy,41.69449167519354,1223.1,2016-02-29,1215.375604263399,-322.06475373560477
NULL,model1,2016-03-03,sell,-41.16302017925137,1240.8,2016-03-03,1244.4431841958135,-149.96446456900267
NULL,model1,2016-03-16,buy,76.15462326650653,1233.1,2016-03-16,1241.1109060218455,-2659.8788756147524
NULL,model1,2016-03-24,buy,74.00805298930337,1220.7,2016-03-24,1230.9753010915874,760.4550276672455
NULL,model1,2016-04-12,sell,-41.589286967032436,1259.8,2016-04-12,1247.0265474118114,531.2387852499567
NULL,model1,2016-04-18,buy,81.213406059811,1236.3,2016-04-18,1237.0853036352091,63.777183006488414
NULL,model1,2016-04-20,sell,-43.915163232653995,1251.3,2016-04-20,1248.4964011165268,123.1205026066083
NULL,model1,2016-04-25,buy,95.35841590279091,1234.5,2016-04-25,1233.9741080650588,-50.14822185204909
NULL,model1,2016-05-03,sell,-46.41719324703295,1293.4,2016-05-03,1251.047083815896,1965.9034950929474
NULL,model1,2016-05-05,buy,47.21172415590018,1281.2,2016-05-05,1274.758013218036,-304.137302966041
NULL,model1,2016-05-10,buy,47.80002110099212,1265.4,2016-05-10,1273.2367562951433,374.5971162711793
NULL,model1,2016-05-27,buy,96.56259416520066,1222.3,2016-05-27,1256.3385751627113,3286.853119398577
NULL,model1,2016-06-14,sell,-54.34457057870538,1286.2000000000003,2016-06-14,1231.4774624844174,2973.872802261434
